SimID, FromNodeID, ToNodeID, Bandwidth, Time
17,1,6,2.5460798E7,21808032
17,6,1,2.5460798E7,21808032
17,1,7,2.4086966E7,21808032
17,7,1,2.4086966E7,21808032
17,1,8,2.8380076E7,21808032
17,8,1,2.8380076E7,21808032
17,1,9,2.589809E7,21808032
17,9,1,2.589809E7,21808032
17,1,10,2.4486802E7,21808032
17,10,1,2.4486802E7,21808032
17,2,3,2.7543738E7,21808032
17,3,2,2.7543738E7,21808032
17,2,4,2.8428912E7,21808032
17,4,2,2.8428912E7,21808032
17,2,5,2.0274504E7,21808032
17,5,2,2.0274504E7,21808032
17,2,6,2.3832196E7,21808032
17,6,2,2.3832196E7,21808032
17,2,7,2.3322314E7,21808032
17,7,2,2.3322314E7,21808032
17,2,8,2.0801506E7,21808032
17,8,2,2.0801506E7,21808032
17,2,9,2.4328472E7,21808032
17,9,2,2.4328472E7,21808032
17,2,10,2.4249988E7,21808032
17,10,2,2.4249988E7,21808032
17,3,4,2.1445772E7,21808032
17,4,3,2.1445772E7,21808032
17,3,5,2.5238254E7,21808032
17,5,3,2.5238254E7,21808032
17,3,6,2.402676E7,21808032
17,6,3,2.402676E7,21808032
17,3,7,2.7863336E7,21808032
17,7,3,2.7863336E7,21808032
17,3,8,2.779083E7,21808032
17,8,3,2.779083E7,21808032
17,3,9,2.353328E7,21808032
17,9,3,2.353328E7,21808032
17,3,10,2.9503452E7,21808032
17,10,3,2.9503452E7,21808032
17,4,5,2.8675176E7,21808032
17,5,4,2.8675176E7,21808032
17,4,6,2.7683144E7,21808032
17,6,4,2.7683144E7,21808032
17,4,7,2.8177286E7,21808032
17,7,4,2.8177286E7,21808032
17,4,8,2.0235256E7,21808032
17,8,4,2.0235256E7,21808032
17,4,9,2.826396E7,21808032
17,9,4,2.826396E7,21808032
17,4,10,2.5142276E7,21808032
17,10,4,2.5142276E7,21808032
17,5,6,2.6216692E7,21808032
17,6,5,2.6216692E7,21808032
17,5,7,2.1485752E7,21808032
17,7,5,2.1485752E7,21808032
17,5,8,2.2271432E7,21808032
17,8,5,2.2271432E7,21808032
17,5,9,2.7703804E7,21808032
17,9,5,2.7703804E7,21808032
17,5,10,2.481375E7,21808032
17,10,5,2.481375E7,21808032
17,6,7,2.6208514E7,21808032
17,7,6,2.6208514E7,21808032
17,6,8,2.80802E7,21808032
17,8,6,2.80802E7,21808032
