SimID, TxID, Size, Value, NodeID, ArrivalTime, ConflictID, DependencyIDs
81,90,4691.0,3905.1047,22,5160896,-1,-1
82,50,5783.0,3534.1826,17,3481467,-1,-1
82,60,4214.0,2859.3809,23,3910735,-1,-1
82,70,4635.0,2978.447,25,4848619,-1,-1
82,80,5766.0,3646.5522,1,5195549,-1,-1
82,90,4148.0,3298.3494,28,6300156,-1,-1
83,50,5690.0,3777.921,9,2405717,-1,-1
83,60,5262.0,3392.894,18,2850392,-1,-1
83,70,4106.0,3445.2705,10,3144190,-1,-1
83,80,5938.0,3624.5796,3,4017704,-1,-1
83,90,5554.0,2621.9163,6,4944636,-1,-1
84,50,5323.0,4204.7617,3,2521176,-1,-1
84,60,4380.0,2812.3499,1,3215221,-1,-1
84,70,5514.0,3503.6985,1,3688753,-1,-1
84,80,4797.0,3241.703,30,4155852,-1,-1
84,90,5023.0,4415.1875,11,4320702,-1,-1
85,50,4610.0,3140.255,18,3062766,-1,-1
85,60,4678.0,3457.7712,25,3867996,-1,-1
85,70,4927.0,3778.729,23,4735309,-1,-1
85,80,6114.0,3788.5566,1,5823459,-1,-1
85,90,4645.0,3605.3032,29,6453016,-1,-1
86,50,4807.0,3826.1697,24,3234672,-1,-1
86,60,6115.0,3824.7412,17,3805736,-1,-1
86,70,5552.0,3184.642,9,4346157,-1,-1
86,80,4363.0,3742.4358,10,5122366,-1,-1
86,90,5340.0,4180.7417,5,5706403,-1,-1
87,50,4797.0,3141.3452,24,3209045,-1,-1
87,60,4526.0,3580.5386,24,3777202,-1,-1
87,70,4873.0,3452.1912,25,4347664,-1,-1
87,80,5629.0,3589.7004,20,5066359,-1,-1
87,90,5285.0,3138.6526,23,5515720,-1,-1
88,50,5119.0,3418.8806,14,3095315,-1,-1
88,60,5392.0,3637.96,29,3594939,-1,-1
88,70,4210.0,4163.7666,18,4357833,-1,-1
88,80,5143.0,3348.661,21,4833242,-1,-1
88,90,4630.0,3682.1484,17,5487103,-1,-1
89,50,5303.0,3461.87,30,2961907,-1,-1
89,60,4008.0,3185.668,30,3494781,-1,-1
89,70,4055.0,3759.6572,10,4038467,-1,-1
89,80,3745.0,3765.2432,29,4512450,-1,-1
89,90,4146.0,4416.44,21,5179552,-1,-1
90,50,5962.0,3227.3894,30,3566654,-1,-1
90,60,4902.0,3832.5918,3,3916239,-1,-1
90,70,4957.0,3455.6277,22,4966061,-1,-1
90,80,4837.0,4038.8706,29,5501362,-1,-1
90,90,4780.0,3581.2192,4,6309097,-1,-1
91,50,5014.0,2874.1128,16,3449533,-1,-1
91,60,5160.0,3489.399,12,4011503,-1,-1
91,70,5515.0,3691.4014,21,4550265,-1,-1
91,80,5264.0,3734.4763,18,4894467,-1,-1
91,90,4337.0,3982.6208,4,5367664,-1,-1
92,50,5045.0,3927.9875,27,2414469,-1,-1
92,60,4532.0,3359.124,27,3045881,-1,-1
92,70,4381.0,3559.3445,29,3674391,-1,-1
92,80,4540.0,3234.1265,15,4236059,-1,-1
92,90,5131.0,3112.0164,27,4824326,-1,-1
93,50,5528.0,3958.659,19,2846397,-1,-1
93,60,5597.0,3498.4536,14,3689905,-1,-1
93,70,4966.0,3620.363,7,4001819,-1,-1
93,80,5600.0,3978.108,8,4627874,-1,-1
93,90,4896.0,3216.107,14,4974254,-1,-1
94,50,5414.0,3072.2395,4,2400627,-1,-1
94,60,5262.0,3296.318,5,3038865,-1,-1
94,70,5314.0,3015.3213,5,3571620,-1,-1
94,80,4867.0,3379.9155,5,4110803,-1,-1
94,90,4591.0,4145.271,30,5083602,-1,-1
95,50,5306.0,4006.1836,14,2771581,-1,-1
95,60,4908.0,3200.081,12,3224181,-1,-1
95,70,4925.0,2864.8289,9,4088469,-1,-1
95,80,5185.0,4157.359,20,4545397,-1,-1
95,90,4191.0,2907.0337,22,5144685,-1,-1
96,50,4457.0,3656.6064,18,4036621,-1,-1
96,60,5641.0,3533.229,22,4804361,-1,-1
96,70,4428.0,3049.7651,3,5291766,-1,-1
96,80,4181.0,3579.5417,4,5892065,-1,-1
96,90,4880.0,3399.8787,7,6727187,-1,-1
97,50,5352.0,3557.7378,14,3080054,-1,-1
97,60,5014.0,3446.2083,14,3908184,-1,-1
97,70,3982.0,3866.589,7,4166456,-1,-1
97,80,5938.0,2766.1858,23,4741738,-1,-1
97,90,4528.0,3710.244,9,5390274,-1,-1
98,50,5035.0,3425.8323,10,3341495,-1,-1
98,60,5469.0,3748.6016,19,3773238,-1,-1
98,70,5171.0,3074.7227,7,4256570,-1,-1
98,80,4610.0,3777.5264,5,4930070,-1,-1
98,90,4621.0,3829.522,10,5534483,-1,-1
99,50,3933.0,3628.7134,21,2968373,-1,-1
99,60,4328.0,3849.9507,29,3445919,-1,-1
